"","package","version","risk_date","risk_version","pkg_score","rank_score","news_current","has_vignettes","size_codebase","has_bug_reports_url","bugs_status","license","export_help","reverse_dependencies","downloads_1yr","dependencies","has_website","r_cmd_check","remote_checks","has_maintainer","exported_namespace","has_news","has_source_control","covr_coverage"
"1","acnr","1.0.0",2023-06-21,"0.2.1",0.0947001338917697,1,1,1,NA,1,0.727272727272727,NA,NA,0.350228721939924,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"2","magrittr","2.0.3",2023-06-21,"0.2.1",0.101745720189267,2,1,1,NA,1,NA,NA,NA,0.999999999940177,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"3","rstudioapi","0.14",2023-06-21,"0.2.1",0.101771466156599,3,1,1,NA,1,NA,NA,NA,0.999716794299529,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"4","corrplot","0.92",2023-06-21,"0.2.1",0.105520592066634,4,1,1,NA,1,NA,NA,NA,0.977707178519915,NA,0.880797077977882,1,NA,0.980769230769231,1,NA,1,1,NA
"5","rprojroot","2.0.3",2023-06-21,"0.2.1",0.106162509419265,5,1,1,NA,1,NA,NA,NA,0.951415318410205,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"6","gsl","2.1-8",2023-06-21,"0.2.1",0.107020789419084,6,1,1,NA,1,NA,NA,NA,0.941974238412193,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"7","glue","1.6.2",2023-06-21,"0.2.1",0.107493870188962,7,1,1,NA,1,NA,NA,NA,0.999992951727773,NA,0.817574476193644,1,NA,1,1,NA,1,1,NA
"8","matrixStats","1.0.0",2023-06-21,"0.2.1",0.108746383754073,8,1,1,NA,1,NA,NA,NA,0.999915777650391,NA,0.880797077977882,1,NA,0.923076923076923,1,NA,1,1,NA
"9","mockery","0.4.3",2023-06-21,"0.2.1",0.108750325851755,9,1,1,NA,1,NA,NA,NA,0.986171939437045,NA,0.817574476193644,1,NA,1,1,NA,1,1,NA
"10","cpp11","0.4.3",2023-06-21,"0.2.1",0.112265544663839,10,1,1,NA,1,NA,NA,NA,0.941974238412193,NA,0.880797077977882,1,NA,0.942307692307692,1,NA,1,1,NA
"11","clipr","0.8.0",2023-06-21,"0.2.1",0.113272756261744,11,1,1,NA,1,NA,NA,NA,0.936425204927176,NA,0.817574476193644,1,NA,1,1,NA,1,1,NA
"12","config","0.3.1",2023-06-21,"0.2.1",0.11345377767973,12,1,1,NA,1,NA,NA,NA,0.934433969329331,NA,0.817574476193644,1,NA,1,1,NA,1,1,NA
"13","xml2","1.3.4",2023-06-21,"0.2.1",0.114488300365783,13,1,1,NA,1,NA,NA,NA,0.999977296705817,NA,0.817574476193644,1,NA,0.923076923076923,1,NA,1,1,NA
"14","checkmate","2.2.0",2023-06-21,"0.2.1",0.115387394734576,14,1,1,NA,1,NA,NA,NA,0.999680079289659,NA,0.731058578630005,1,NA,1,1,NA,1,1,NA
"15","tinytest","1.4.1",2023-06-21,"0.2.1",0.115430083694949,15,1,1,NA,1,NA,NA,NA,0.999210500725553,NA,0.731058578630005,1,NA,1,1,NA,1,1,NA
"16","units","0.8-2",2023-06-21,"0.2.1",0.117064901125728,16,1,1,NA,1,NA,NA,NA,0.98122750898699,NA,0.731058578630005,1,NA,1,1,NA,1,1,NA
"17","ncvreg","3.14.1",2023-06-21,"0.2.1",0.117957348756306,17,1,1,NA,1,NA,NA,NA,0.821672085702747,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"18","progressr","0.13.0",2023-06-21,"0.2.1",0.11826694467079,18,1,1,NA,1,NA,NA,NA,0.968005029991304,NA,0.731058578630005,1,NA,1,1,NA,1,1,NA
"19","zeallot","0.1.0",2023-06-21,"0.2.1",0.119279251694494,19,1,1,NA,1,NA,NA,NA,0.807131153382682,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"20","rsvg","2.4.0",2023-06-21,"0.2.1",0.12074064384198,20,1,1,NA,1,NA,NA,NA,0.925671224375721,NA,0.880797077977882,1,NA,0.865384615384615,1,NA,1,1,NA
"21","data.table","1.14.8",2023-06-21,"0.2.1",0.121479243682918,21,1,1,NA,1,NA,NA,NA,0.999999997140414,NA,0.817574476193644,1,NA,0.846153846153846,1,NA,1,1,NA
"22","openssl","2.0.6",2023-06-21,"0.2.1",0.122214759321577,22,1,1,NA,1,NA,NA,NA,0.972678555884398,NA,0.817574476193644,1,NA,0.865384615384615,1,NA,1,1,NA
"23","geodist","0.0.8",2023-06-21,"0.2.1",0.122352669603016,23,1,1,NA,1,NA,NA,NA,0.773323556388944,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"24","markdown","1.7",2023-06-21,"0.2.1",0.125232478633998,24,1,1,NA,1,NA,NA,NA,0.999983403824165,NA,0.622459331201855,1,NA,1,1,NA,1,1,NA
"25","withr","2.5.0",2023-06-21,"0.2.1",0.125234010190669,25,1,1,NA,1,NA,NA,NA,0.999966556700786,NA,0.622459331201855,1,NA,1,1,NA,1,1,NA
"26","lifecycle","1.0.3",2023-06-21,"0.2.1",0.125265274229992,26,1,1,NA,1,NA,NA,NA,0.99962265226823,NA,0.622459331201855,1,NA,1,1,NA,1,1,NA
"27","xts","0.13.1",2023-06-21,"0.2.1",0.125562984312274,27,1,1,NA,1,NA,NA,NA,0.996347841363127,NA,0.622459331201855,1,NA,1,1,NA,1,1,NA
"28","gapminder","1.0.0",2023-06-21,"0.2.1",0.128100178856128,28,1,1,NA,1,NA,NA,NA,0.773323556388944,NA,0.817574476193644,1,NA,1,1,NA,1,1,NA
"29","gower","1.0.1",2023-06-21,"0.2.1",0.128361223710537,29,1,1,NA,1,NA,NA,NA,0.707229461206214,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"30","nloptr","2.0.3",2023-06-21,"0.2.1",0.129298620418187,30,1,1,NA,1,NA,NA,NA,0.990909929975532,NA,0.817574476193644,1,NA,0.769230769230769,1,NA,1,1,NA
"31","rex","1.2.1",2023-06-21,"0.2.1",0.129891060393545,31,1,1,NA,1,NA,NA,NA,0.753623859477356,NA,0.817574476193644,1,NA,1,1,NA,1,1,NA
"32","fs","1.6.2",2023-06-21,"0.2.1",0.130387438547018,32,1,1,NA,1,NA,NA,NA,0.998163699789163,NA,0.817574476193644,1,NA,0.75,1,NA,1,1,NA
"33","foreach","1.5.2",2023-06-21,"0.2.1",0.130475766696837,33,1,1,NA,1,NA,NA,NA,0.999999542825241,NA,0.622459331201855,1,NA,0.942307692307692,1,NA,1,1,NA
"34","proto","1.0.0",2023-06-21,"0.2.1",0.13085596144312,34,1,1,NA,1,NA,NA,NA,0.679787346147798,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"35","prettydoc","0.4.1",2023-06-21,"0.2.1",0.131665100853743,35,1,1,NA,1,NA,NA,NA,0.984109414415179,NA,0.817574476193644,1,NA,0.75,1,NA,1,1,NA
"36","here","1.0.1",2023-06-21,"0.2.1",0.132298436448545,36,1,1,NA,1,NA,NA,NA,0.977142722872363,NA,0.817574476193644,1,NA,0.75,1,NA,1,1,NA
"37","fansi","1.0.4",2023-06-21,"0.2.1",0.132891842544301,37,1,1,NA,1,NA,NA,NA,0.807131153382682,NA,0.731058578630005,1,NA,1,1,NA,1,1,NA
"38","data.tree","1.0.0",2023-06-21,"0.2.1",0.133174501381603,38,1,1,NA,1,NA,NA,NA,0.912621153600511,NA,0.622459331201855,1,NA,1,1,NA,1,1,NA
"39","listenv","0.9.0",2023-06-21,"0.2.1",0.133667852243577,39,1,1,NA,1,NA,NA,NA,0.648856547342769,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"40","gsubfn","0.7",2023-06-21,"0.2.1",0.134108732963649,40,1,1,NA,1,NA,NA,NA,0.707229461206214,NA,0.817574476193644,1,NA,1,1,NA,1,1,NA
"41","import","1.3.0",2023-06-21,"0.2.1",0.135211431112028,41,1,1,NA,1,NA,NA,NA,0.631877179789804,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
"42","Rdpack","2.4",2023-06-21,"0.2.1",0.136379895842588,42,1,1,NA,1,NA,NA,NA,0.999821145731527,NA,0.5,1,NA,1,1,NA,1,1,NA
"43","expint","0.1-8",2023-06-21,"0.2.1",0.136859313651567,43,1,1,NA,1,NA,NA,NA,0.613750471854878,NA,0.880797077977882,1,NA,1,1,NA,1,1,NA
